81,Scott Pendlebury,Magpies,805000,738000,90,12.2,104.21,Midfield,1,1,0,0,0,0
81,Jack Steven,Saints,652000,702000,90,12.8,76,Forward,1,0,1,0,0,0
86,Charlie Ballard,Suns,397000,315000,89,28.3,54.48,Defender,1,0,0,1,0,0
87,Adam Tomlinson,Giants,493000,539000,88,16.3,74.84,Midfield,1,1,0,0,0,0
87,Jarrod Berry,Lions,680000,559000,88,15.7,80.15,Midfield,1,1,0,0,0,0
87,Blake Hardwick,Hawks,451000,469000,88,18.8,72.27,Defender,1,0,0,1,0,0
87,Tom Phillips,Magpies,602000,693000,88,12.7,91.33,Forward,1,0,1,0,0,0
91,Jack Bowes,Suns,608000,463000,87,18.8,71.47,Defender,1,0,0,1,0,0
91,Wayne Milera,Crows,446000,546000,87,15.9,76.82,Defender,1,0,0,1,0,0
91,Jack Redden,Eagles,554000,698000,87,12.5,91.65,Midfield,1,1,0,0,0,0
91,Ricky Henderson,Hawks,570000,610000,87,14.3,96.64,Midfield,1,1,0,0,0,0
91,Thomas Liberatore,Bulldogs,675000,392000,87,22.2,76,Midfield,1,1,0,0,0,0
91,Sam Walsh,Blues,739000,270000,87,32.2,92.23,Midfield,1,1,0,0,0,0
97,Willem Drew,Power,361000,170000,86,50.6,67.6,Midfield,1,1,0,0,0,0
97,Christopher Mayne,Magpies,539000,522000,86,16.5,76.33,Midfield,1,1,0,0,0,0
99,Bradley Sheppard,Eagles,672000,541000,85,15.7,81.29,Defender,1,0,0,1,0,0
99,Isaac Heeney,Swans,603000,658000,85,12.9,89.77,Forward,1,0,1,0,0,0
99,Luke Dunstan,Saints,716000,599000,85,14.2,85.83,Midfield,1,1,0,0,0,0
99,Rhys Stanley,Cats,573000,590000,85,14.4,80.5,Ruck,1,0,0,0,1,0
99,James Aish,Magpies,588000,501000,85,17,65.57,Midfield,1,1,0,0,0,0
104,Jack Sinclair,Saints,541000,538000,84,15.6,66.36,Midfield,1,1,0,0,0,0
104,Andrew McGrath,Bombers,738000,518000,84,16.2,75.83,Midfield,1,1,0,0,0,0
104,Mitchell Wallis,Bulldogs,450000,595000,84,14.1,79.3,Forward,1,0,1,0,0,0
104,Jack Billings,Saints,715000,618000,84,13.6,98.55,Midfield,1,1,0,0,0,0
104,Brandan Parfitt,Cats,654000,550000,84,15.3,72,Midfield,1,1,0,0,0,0
104,Steele Sidebottom,Magpies,841000,750000,84,11.2,99.87,Forward,1,0,1,0,0,0
104,Isaac Smith,Hawks,618000,647000,84,13,84.95,Forward,1,0,1,0,0,0
104,David Zaharakis,Bombers,524000,704000,84,11.9,79.5,Forward,1,0,1,0,0,0
104,Dane Rampe,Swans,501000,474000,84,17.7,79.43,Defender,1,0,0,1,0,0
104,Brodie Grundy,Magpies,867000,871000,84,9.6,124.17,Ruck,1,0,0,0,1,0
104,Zac Fisher,Blues,480000,504000,84,16.7,63.19,Forward,1,0,1,0,0,0
104,Brent Daniels,Giants,454000,276000,84,30.4,60.73,Forward,1,0,1,0,0,0
116,Andrew Phillips,Blues,522000,355000,83,23.4,80.4,Ruck,1,0,0,0,1,0
116,Alex Witherden,Lions,654000,639000,83,13,73.35,Defender,1,0,0,1,0,0
116,Aaron Hall,Kangaroos,583000,626000,83,13.3,80.67,Forward,1,0,1,0,0,0
116,Lachlan Schultz,Dockers,481000,170000,83,48.8,47.43,Forward,1,0,1,0,0,0
116,Jack Higgins,Tigers,563000,448000,83,18.5,67,Forward,1,0,1,0,0,0
116,Matthew Parker,Saints,355000,178000,83,46.6,53.12,Forward,1,0,1,0,0,0
116,David Cuningham,Blues,481000,391000,83,21.2,66.33,Forward,1,0,1,0,0,0
116,Jayden Short,Tigers,694000,551000,83,15.1,68.93,Defender,1,0,0,1,0,0
124,Sebastian Ross,Saints,565000,779000,82,10.5,94.32,Midfield,1,1,0,0,0,0
124,Harry Cunningham,Swans,554000,544000,82,15.1,80.67,Defender,1,0,0,1,0,0
124,Michael Walters,Dockers,698000,581000,82,14.1,93.45,Forward,1,0,1,0,0,0
124,Sam Lloyd,Bulldogs,425000,450000,82,18.2,76.35,Forward,1,0,1,0,0,0
