Cale Hooker,,535000,Defender,
Sydney Stack,,535000,Midfield,
James Rowbottom,,535000,Midfield,
Liam Ryan,,534000,Forward,
Taylor Duryea,,533000,Defender,
Ben Brown,,532000,Forward,
Lachie Henderson,,531000,Defender,
Damon Greaves,,530000,Defender,
Nathan Jones,,528000,Midfield,
Luke Breust,,526000,Forward,
Kamdyn McIntosh,,526000,Midfield,
Darcy Tucker,,525000,Midfield,
David Zaharakis,,524000,Forward,
Oscar Allen,,524000,Forward,
Marc Pittonet,,522000,Ruck,
Andrew Phillips,,522000,Ruck,
Luke Davies-Uniacke,,522000,Midfield,
Jarrod Lienert,,522000,Defender,
Will Snelling,,521000,Forward,
Lewis Taylor,,521000,Forward,
Shaun Atley,,520000,Defender,
Charlie Cameron,,518000,Forward,
Connor Rozee,,518000,Forward,
Jack Lonie,,518000,Forward,
Sam Gray,,518000,Forward,
Sam Petrevski-Seton,,516000,Defender,
Jason Castagna,,516000,Forward,
Cam Rayner,,515000,Forward,
Marlion Pickett,,515000,Midfield,
Bailey Dale,,514000,Forward,
Ivan Soldo,,512000,Ruck,
Jake Carlisle,,512000,Defender,
Dylan Stephens,,512000,Midfield,
Levi Casboult,,511000,Forward,
Grant Birchall,,510000,Defender,
Rory Atkins,,510000,Midfield,
Callum Ah Chee,,508000,Defender,
Toby McLean,,508000,Forward,
Luke Dahlhaus,,506000,Forward,
Josh Caddy,,506000,Midfield,
George Hewett,,506000,Midfield,
Shaun McKernan,,504000,Forward,
Isaac Quaynor,,503000,Defender,
Will Brodie,,503000,Midfield,
Ben Cunnington,,503000,Midfield,
Shane McAdam,,502000,Forward,
Jye Caldwell,,502000,Midfield,
Jack Darling,,502000,Forward,
Dane Rampe,,501000,Defender,
Harry Morrison,,500000,Defender,
Jamie Cripps,,499000,Forward,
Shane Edwards,,497000,Midfield,
Riley Bonner,,496000,Defender,
David Mackay,,495000,Defender,
Darcy Moore,,495000,Defender,
Ben Paton,,495000,Defender,
Josh Battle,,495000,Midfield,
Josh Jenkins,,494000,Ruck,
Eric Hipwood,,493000,Forward,
Sean Darcy,,493000,Ruck,
Nathan Wilson,,493000,Defender,
Adam Tomlinson,,493000,Defender,
Ethan Hughes,,492000,Defender,
Tim Membrey,,492000,Forward,
Lachie Fogarty,,489000,Forward,
Trent McKenzie,,489000,Defender,
Jeremy Cameron,,488000,Forward,
Daniel Rioli,,488000,Forward,
Bryce Gibbs,,487000,Defender,
Jackson Hately,,486000,Midfield,
Will Hoskin-Elliott,,486000,Forward,
Connor Blakely,,485000,Midfield,
Ryan Burton,,485000,Defender,
Charlie Constable,,484000,Midfield,
Trent Rivers,,484000,Defender,
Sam Mayes,,484000,Defender,
Josh Rotham,,482000,Defender,
David Cuningham,,481000,Forward,
Lachie Schultz,,481000,Forward,
Sam Simpson,,481000,Forward,
Zac Fisher,,480000,Forward,
Stephen Hill,,480000,Defender,
Mark O'Connor,,480000,Defender,
Aidan Corr,,480000,Defender,
David Astbury,,480000,Defender,
Jake Riccardi,,479000,Forward,
Elliott Himmelberg,,478000,Forward,
Todd Marshall,,478000,Forward,
Jeremy Finlayson,,477000,Forward,
Ben McEvoy,,477000,Defender,
Ryan Lester,,476000,Defender,
Wil Powell,,476000,Defender,
Dylan Clarke,,475000,Midfield,
Jake Waterman,,475000,Forward,
James Harmes,,474000,Defender,
Alex Sexton,,473000,Forward,
Tom McDonald,,472000,Forward,
Cameron Zurhaar,,472000,Forward,
Jack Madgen,,470000,Defender,
Jaidyn Stephenson,,470000,Forward,
Jack Riewoldt,,469000,Forward,
Nathan Broad,,469000,Defender,
Justin McInerney,,467000,Midfield,
Brody Mihocek,,466000,Forward,
Shane Mumford,,466000,Ruck,
Izak Rankine,,465000,Forward,
Esava Ratugolea,,463000,Ruck,
Jarman Impey,,463000,Forward,
Callan Ward,,461000,Midfield,
Dean Kent,,461000,Forward,
Lincoln McCarthy,,460000,Forward,
Harry McKay,,459000,Forward,
Jesse Hogan,,459000,Forward,
Callum Wilkie,,459000,Defender,
Gary Rohan,,458000,Forward,
Jake Kolodjashnij,,458000,Defender,
Darcy MacPherson,,457000,Forward,
Sam Draper,,454000,Ruck,
Brent Daniels,,454000,Forward,
Mitch Brown,,453000,Forward,
Bailey Scott,,453000,Midfield,
Will Hayward,,453000,Forward,
Mitch Lewis,,452000,Forward,
Blake Hardwick,,451000,Defender,
Luke Brown,,450000,Defender,
Daniel Lloyd,,450000,Forward,
Nick Blakey,,450000,Midfield,
Mitch Wallis,,450000,Forward,
Jarrod Brander,,448000,Midfield,
Travis Colyer,,447000,Forward,
Dylan Grimes,,447000,Defender,
Tom Cole,,447000,Defender,
Wayne Milera,,446000,Defender,
Matt Guelfi,,446000,Defender,
Anthony McDonald-Tipungwuti,,446000,Forward,
Mason Redman,,443000,Defender,
Tom Green,,443000,Midfield,
Tom Scully,,443000,Midfield,
Lachlan Sholl,,442000,Defender,
Jacob Weitering,,442000,Defender,
Taylin Duman,,442000,Defender,
Sam Collins,,442000,Defender,
Aaron vandenBerg,,442000,Midfield,
Mitch Crowden,,441000,Forward,
Jed Bews,,441000,Defender,
Jake Lever,,441000,Defender,
Dylan Moore,,440000,Forward,
Tom J. Lynch,,440000,Forward,
Jack Ross,,440000,Midfield,
Adam Kennedy,,439000,Midfield,
Callum L. Brown,,438000,Forward,
Rhys Mathieson,,437000,Midfield,
Daniel Howe,,437000,Defender,
Shaun Burgoyne,,435000,Forward,
Hayden McLean,,435000,Forward,
Andrew McPherson,,432000,Defender,
Joe Daniher,,432000,Forward,
Ben Long,,431000,Defender,
Josh J. Kennedy,,431000,Forward,
Laitham Vandermeer,,430000,Midfield,
Harris Andrews,,428000,Defender,
Jarrod Harbrow,,428000,Defender,
Harry Himmelberg,,428000,Forward,
Alex Neal-Bullen,,428000,Forward,
Tom Barrass,,428000,Defender,
Darcy Gardiner,,427000,Defender,
Curtis Taylor,,426000,Forward,
Tom Williamson,,424000,Defender,
Eddie Betts,,424000,Forward,
Lachie Plowman,,424000,Defender,
Darcy Fort,,424000,Ruck,
Matt de Boer,,424000,Midfield,
Noah Balta,,424000,Defender,
Sam Reid,,424000,Forward,
Jordan Clark,,422000,Defender,
Aliir Aliir,,422000,Defender,
Tom Jonas,,421000,Defender,
Patrick Naish,,421000,Midfield,
Lachie Ash,,420000,Defender,
Kane Farrell,,420000,Midfield,
Josh Walker,,419000,Defender,
Tom Clurey,,419000,Defender,
Lachlan Murphy,,418000,Forward,
Tom Hickey,,418000,Ruck,
Noah Answerth,,415000,Defender,
Brennan Cox,,415000,Defender,
Jake Melksham,,415000,Forward,
Jake Aarts,,415000,Forward,
Nick Holman,,413000,Forward,
Steven Motlop,,412000,Forward,
Dougal Howard,,412000,Defender,
Dom Tyson,,410000,Midfield,
Nick Hind,,409000,Forward,
Oskar Baker,,407000,Midfield,
Robbie Fox,,405000,Defender,
Will Hayes,,403000,Midfield,
Brayden Sier,,402000,Midfield,
Jack Silvagni,,399000,Forward,
Josh Thomas,,399000,Forward,
Mitch Georgiades,,399000,Forward,
Levi Greenwood,,398000,Midfield,
Charlie Ballard,,397000,Defender,
Jack Henry,,397000,Defender,
Sam Wicks,,397000,Forward,
Colin O'Riordan,,397000,Defender,
Daniel McStay,,396000,Forward,
Mitch McGovern,,396000,Forward,
Darcy Cameron,,395000,Forward,
Jordan Roughead,,395000,Defender,
Jake Stringer,,394000,Forward,
Jayden Laverde,,394000,Forward,
Max King,,394000,Forward,
Easton Wood,,394000,Defender,
Zac Smith,,392000,Ruck,
Alex Keath,,392000,Defender,
Sam J. Reid,,391000,Defender,
Brandon Starcevich,,390000,Defender,
Ed Richards,,390000,Midfield,
Tim O'Brien,,389000,Forward,
Tyson Stengle,,388000,Forward,
Aaron Francis,,387000,Defender,
Keidean Coleman,,386000,Forward,
Brayden Ham,,385000,Midfield,
Tom Atkins,,385000,Forward,
James Stewart,,382000,Forward,
Martin Gleeson,,382000,Defender,
Sam Day,,382000,Forward,
Jarryn Geary,,382000,Defender,
Mason Cox,,381000,Forward,
Brendon Ah Chee,,379000,Forward,
Jake Kelly,,378000,Defender,
Braydon Preuss,,377000,Ruck,
Sam Frost,,377000,Defender,
Lance Franklin,,377000,Forward,
Sam Weideman,,375000,Forward,
Lin Jong,,375000,Midfield,
Josh Corbett,,374000,Forward,
Tarryn Thomas,,372000,Forward,
Josh Bruce,,371000,Forward,
Aaron Naughton,,371000,Forward,
Harry Schoenberg,,370000,Forward,
Liam Jones,,370000,Defender,
Oleg Markov,,370000,Defender,
Jayden Hunt,,370000,Forward,
Bailey Banfield,,369000,Forward,
James Bell,,369000,Forward,
Tobe Watson,,367000,Defender,
Ben King,,367000,Forward,
Taylor Walker,,366000,Forward,
Peter Wright,,366000,Forward,
Kyle Hartigan,,366000,Defender,
Tom McCartin,,366000,Forward,
Zaine Cordy,,366000,Defender,
Louis Butler,,366000,Defender,
Jamaine Jones,,366000,Forward,
Tom De Koning,,364000,Ruck,
Tyler Brown,,363000,Midfield,
Michael Hartley,,363000,Defender,
Jay Lockhart,,363000,Defender,
Ben McKay,,363000,Defender,
Brad Close,,362000,Forward,
Willem Drew,,361000,Midfield,
Oliver Hanrahan,,359000,Forward,
Mitchell Hinge,,358000,Midfield,
Connor Budarick,,357000,Defender,
Sean Lemmens,,355000,Forward,
Isaac Cumming,,355000,Defender,
Tom Sparrow,,354000,Midfield,
Orazio Fantasia,,353000,Defender,
Callum Coleman-Jones,,353000,Ruck,
Mitch Hannan,,353000,Forward,
Boyd Woodcock,,352000,Forward,
Rhylee West,,352000,Forward,
Daniel Talia,,351000,Defender,
Charlie Spargo,,350000,Forward,
Charlie Curnow,,347000,Forward,
Changkuoth Jiath,,347000,Defender,
Lewis Melican,,347000,Defender,
Will Walker,,345000,Midfield,
Darcy Fogarty,,344000,Forward,
Lachlan Keeffe,,344000,Defender,
Phil Davis,,344000,Defender,
Taylor Garner,,342000,Forward,
Willie Rioli,,341000,Forward,
Mabior Chol,,340000,Ruck,
Roarke Smith,,339000,Midfield,
Zach Guthrie,,338000,Defender,
Ned McHenry,,337000,Forward,
Hayden Young,,337000,Defender,
Bobby Hill,,337000,Forward,
Ben Cavarra,,337000,Forward,
Brayden Ainsworth,,336000,Midfield,
Jack Buckley,,334000,Defender,
Jack Mahony,,334000,Forward,
Matthew Cottrell,,333000,Midfield,
Nick Larkey,,332000,Forward,
Ben Ronke,,332000,Forward,
Jack Petruccelle,,332000,Forward,
Marty Hore,,331000,Defender,
Jacob Townsend,,329000,Forward,
Billy Frampton,,328000,Forward,
Griffin Logue,,328000,Defender,
Kyron Hayden,,327000,Defender,
Kysaiah Pickett,,325000,Forward,
Jarrod Cameron,,324000,Forward,
Paddy Dow,,323000,Midfield,
Luke Jackson,,321000,Forward,
Kade Chandler,,321000,Forward,
Josh Schache,,319000,Forward,
Caleb Graham,,318000,Defender,
Jimmy Webster,,316000,Defender,
Chayce Jones,,313000,Midfield,
Xavier O'Neill,,310000,Midfield,
Brandon Zerk-Thatcher,,309000,Defender,
Mark Hutchings,,308000,Midfield,
Zac Langdon,,306000,Forward,
James Frawley,,305000,Defender,
Lochie O'Brien,,304000,Midfield,
Caleb Marchbank,,301000,Defender,
Sam Switkowski,,301000,Forward,
Archie Smith,,299000,Ruck,
Flynn Perez,,299000,Defender,
Jack Bytel,,299000,Midfield,
Lewis Young,,299000,Defender,
Jordan Murdoch,,298000,Defender,
Kayne Turner,,298000,Forward,
Sam Sturt,,294000,Forward,
Kaiden Brand,,294000,Defender,
Michael Frederick,,292000,Forward,
Xavier O'Halloran,,290000,Midfield,
Will Hamill,,288000,Defender,
Neville Jetta,,285000,Defender,
Irving Mosquito,,284000,Forward,
Stefan Giro,,284000,Midfield,
Marcus Adams,,283000,Defender,
Matt Buntine,,283000,Defender,
Aiden Bonar,,282000,Defender,
Finn Maginness,,279000,Midfield,
Liam Henry,,277000,Forward,
Sam Taylor,,276000,Defender,
Lachie Young,,276000,Defender,
Bailey J. Williams,,271000,Ruck,
Jamarra Ugle-Hagan,,270000,Forward,
Riley Thilthorpe,,268000,Ruck,
Nathan Vardy,,268000,Ruck,
Will Phillips,,266000,Midfield,
Ben Davis,,265000,Forward,
Logan McDonald,,264000,Forward,
Harrison Petty,,263000,Defender,
Fischer Mcasey,,262000,Defender,
Braeden Campbell,,262000,Midfield,
Denver Grainger-Barras,,260000,Defender,
Elijah Hollands,,258000,Midfield,
Nikolas Cox,,256000,Defender,
Archie Perkins,,254000,Midfield,
Joel Garner,,254000,Defender,
Sam Flanders,,253000,Forward,
Zach Reid,,252000,Defender,
Luke Pedlar,,250000,Midfield,
Joel Hamling,,249000,Defender,
Jake Stein,,248000,Defender,
Tanner Bruhn,,248000,Midfield,
Ryan Gardner,,248000,Defender,
Tom Powell,,246000,Midfield,
Heath Chapman,,244000,Defender,
Nakia Cockatoo,,243000,Midfield,
Liam Stocker,,242000,Defender,
Conor Stone,,242000,Forward,
Connor Menadue,,242000,Defender,
Lachlan Jones,,240000,Defender,
Trey Ruscoe,,239000,Forward,
Daniel Venables,,239000,Forward,
Oliver Henry,,238000,Forward,
Jack Payne,,237000,Defender,
Daniel McKenzie,,237000,Defender,
Ryan Angwin,,236000,Midfield,
Thomas Berry,,235000,Forward,
Patrick Ambrose,,235000,Defender,
Conor Nash,,235000,Forward,
Darragh Joyce,,235000,Defender,
Finlay Macrae,,234000,Midfield,
Alex Pearce,,232000,Defender,
Max Holmes,,232000,Midfield,
Jake Bowey,,230000,Midfield,
Cody Weightman,,229000,Forward,
Bailey Laurie,,228000,Defender,
Reef McInnes,,226000,Midfield,
Blake Coleman,,224000,Forward,
Tristan Xerri,,223000,Forward,
Tom Campbell,,223000,Ruck,
Kieran Strachan,,222000,Ruck,
