Jones Harrison,DEF,0,0,170000
Koschitzke Jacob,DEF/FWD,0,0,170000
Moore Dylan,FWD,0,0,170000
Ross Jackson,FWD,0,0,170000
Hanrahan Oliver,FWD,0,0,170000
Greaves Damon,DEF/MID,0,0,170000
Golds Will,MID,0,0,170000
Walker Mathew,MID/FWD,0,0,170000
Coniglio Stephen,MID,110.38,21,801000
Kelly Josh,MID,108.4,15,787000
Whitfield Lachie,DEF,100.09,22,726000
Ward Callan,MID,96.91,22,703000
Taranto Tim,MID,90.9,21,660000
Shaw Heath,DEF,86.35,20,627000
Greene Toby,FWD,67.43,7,604000
de Boer Matt,FWD,78.38,13,569000
Hopper Jacob,MID,78.32,19,568000
Cameron Jeremy,FWD,77.94,16,566000
Deledio Brett,MID,79.44,9,559000
Simpson Dawson,RUC,67.22,9,553000
Tomlinson Adam,MID,74.27,22,539000
Haynes Nick,DEF,72.32,22,525000
Sheridan Tommy,MID,71.15,13,516000
Patton Jonathon,RUC/FWD,70.42,12,511000
Kennedy Adam,DEF,70.57,7,466000
Davis Phil,DEF,61.05,20,443000
Mumford Shane,RUC,0,0,429000
Lloyd Daniel,FWD,58.29,14,423000
Himmelberg Harry,FWD,58.05,22,421000
Williams Zac,DEF,0,0,421000
Finlayson Jeremy,DEF,57.71,14,419000
Perryman Harry,DEF,55.5,8,379000
Langdon Zac,FWD,50.79,19,369000
Bonar Aiden,MID/FWD,59,4,351000
Reid Sam J.,DEF/FWD,46.47,19,337000
Corr Aidan,DEF,43.56,16,316000
Buntine Matt,DEF,44.71,7,300000
Daniels Brent,FWD,41.86,7,276000
Keeffe Lachlan,DEF,40.43,7,267000
Taylor Sam,DEF,38.38,8,262000
Caldwell Jye,MID,0,0,250000
Hately Jackson,MID,0,0,244000
O'Halloran Xavier,MID,0,0,228000
Hill Ian,MID/FWD,0,0,224000
Cumming Isaac,DEF,37,2,204000
Briggs Kieren,RUC,0,0,204000
Buckley Dylan,FWD,34,2,188000
Shipley Nick,MID,21.5,2,170000
Brown Callum M.,DEF,0,0,170000
Stein Jake,DEF,0,0,170000
Idun Connor,DEF/FWD,0,0,170000
Buckley Jack,MID/FWD,0,0,170000
Sproule Zachary,MID/FWD,0,0,170000
Flynn Matthew,RUC,0,0,170000
Lloyd Jake,DEF,101.64,22,738000
Parker Luke,MID,95.62,21,694000
Sinclair Callum,RUC,92.68,22,673000
Franklin Lance,FWD,91.72,18,666000
Heeney Isaac,MID/FWD,90.71,21,658000
Kennedy Josh P.,MID,90.14,22,654000
McVeigh Jarrad,DEF,78.78,18,572000
Cunningham Harry,MID,75,22,544000
Mills Callum,DEF,74.22,9,522000
Clarke Ryan,DEF,70.37,19,511000
Aliir Aliir,DEF,69.36,11,503000
Jones Zak,DEF,68.72,18,499000
Hewett George,MID,65.91,22,478000
Rampe Dane,DEF,65.32,22,474000
Ronke Ben,FWD,64.76,17,470000
Grundy Heath,DEF,63.94,17,464000
Florent Oliver,MID,63.05,22,458000
Papley Tom,FWD,62.32,19,452000
Hayward Will,FWD,62.14,22,451000
Menzel Daniel,FWD,60.83,12,441000
Reid Sam,FWD,80,1,435000
Smith Nick,DEF,59.2,20,430000
Jack Kieren,MID/FWD,58.83,18,427000
Thurlow Jackson,MID,64,7,423000
Dawson Jordan,MID,67,4,399000
O'Riordan Colin,DEF,63.33,3,363000
Fox Robbie,DEF/FWD,46,10,334000
McCartin Tom,FWD,44.14,14,320000
Naismith Sam,RUC,0,0,299000
Melican Lewis,DEF,51.33,3,294000
Blakey Nick,FWD,0,0,252000
Rose James,FWD,41,1,223000
Rowbottom James,MID,0,0,222000
Stoddart Ryley,FWD,34,2,188000
McInerney Justin,DEF,0,0,184000
Cameron Darcy,RUC,27,1,170000
Maibaum Jack,DEF,0,0,170000
Tucker Durak,DEF,0,0,170000
Reynolds Harry,DEF,0,0,170000
Amartey Joel,FWD,0,0,170000
Pink Toby,FWD,0,0,170000
Foot Zac,FWD,0,0,170000
Bell James,MID/FWD,0,0,170000
Ling Matthew,MID/FWD,0,0,170000
Wicks Samuel,MID/FWD,0,0,170000
Dangerfield Patrick,MID/FWD,106.19,21,771000
Ablett Gary,MID,103.83,18,754000
Duncan Mitch,MID,101.85,20,739000
Selwood Joel,MID,100.86,22,732000
Menegola Sam,MID/FWD,98.64,22,716000
Hawkins Tom,FWD,88,20,639000
Kelly Tim,MID/FWD,86.82,22,630000
Stanley Rhys,RUC,81.33,15,590000
Tuohy Zach,DEF,80.68,22,586000
Stewart Tom,DEF,79.81,21,579000
Dahlhaus Luke,MID/FWD,78.59,17,570000
Parfitt Brandan,FWD,75.83,18,550000
Abbott Ryan,RUC,92.67,3,531000
Cunico Jordan,MID,72.14,14,524000
Selwood Scott,MID,71.5,12,519000
Smith Zac,RUC,57.67,3,485000
Blicavs Mark,DEF,62.36,22,453000
Henderson Lachie,DEF,67.17,6,448000
Guthrie Cameron,DEF,60.83,12,441000
Taylor Harry,DEF,50.14,7,432000
Fogarty Lachie,FWD,57.73,15,419000
Henry Jack,DEF,54.05,21,392000
Parsons James,FWD,52.45,11,381000
Kolodjashnij Jake,DEF,49.77,22,361000
Ratugolea Esava,FWD,49.25,8,336000
Narkle Quinton,FWD,50.17,6,320000
Bews Jed,DEF,43.8,20,318000
Rohan Gary,FWD,43.45,11,315000
Guthrie Zach,DEF,45.86,7,303000
O'Connor Mark,DEF,49,4,292000
Jones Jamaine,FWD,42.86,7,283000
Cockatoo Nakia,FWD,49,2,282000
Buzza Wylie,FWD,37,3,281000
Clark Jordan,DEF,0,0,242000
