name,value,price,position,club
Liam Duggan,66.67,485000,,West Coast Eagles
Mark Blicavs,66.56,453000,,Geelong Cats
Chris Masten,66.53,571000,,West Coast Eagles
Gryan Miers,66.52,170000,,Geelong Cats
Jack Lonie,66.38,486000,,St Kilda Saints
Jack Sinclair,66.36,538000,,St Kilda Saints
David Cuningham,66.33,391000,,Carlton Blues
Jay Kennedy-Harris,66.2,,,Melbourne Demons
Jack Silvagni,66.18,353000,,Carlton Blues
Dylan Clarke,66.18,250000,,Essendon Bombers
Tom Scully,66.14,446000,,Hawthorn Hawks
Jesse Hogan,66.08,646000,,Fremantle Dockers
Jarryd Roughead,66,532000,,Hawthorn Hawks
Liam Baker,65.89,218000,,Richmond Tigers
Dawson Simpson,65.89,553000,,Greater Western Sydney Giants
Taylin Duman,65.86,459000,,Fremantle Dockers
Jamie Cripps,65.84,590000,,West Coast Eagles
Charlie Cameron,65.79,472000,,Brisbane Lions
Peter Ladhams,65.6,170000,,Port Adelaide Power
James Aish,65.57,501000,,Collingwood Magpies
Allen Christensen,65.54,530000,,Brisbane Lions
David MacKay,65.5,465000,,Adeliade Crows
Bailey Dale,65.5,423000,,Western Bulldogs
Shaun McKernan,65.38,538000,,Essendon Bombers
Levi Casboult,65.3,383000,,Carlton Blues
Mitchell Brown,65.25,488000,,Essendon Bombers
Tom Langdon,65.11,537000,,Collingwood Magpies
Ben Ainsworth,65.08,442000,,Gold Coast Suns
Robbie Tarrant,65.05,482000,,North Melbourne Kangaroos
Charlie Curnow,65,536000,,Carlton Blues
Will Hayes,65,170000,,Western Bulldogs
Nathan Wilson,64.78,519000,,Fremantle Dockers
Tom Lynch,64.68,487000,,Richmond Tigers
Steven Motlop,64.57,486000,,Port Adelaide Power
Jake Stringer,64.47,503000,,Essendon Bombers
Willie Rioli,64.43,391000,,West Coast Eagles
Adam Kennedy,64.39,466000,,Greater Western Sydney Giants
Aliir Aliir,64.36,503000,,Sydney Swans
Thomas Jonas,64.22,545000,,Port Adelaide Power
Cameron Zurhaar,64,260000,,North Melbourne Kangaroos
Tom McDonald,63.8,654000,,Melbourne Demons
Sam Day,63.7,381000,,Gold Coast Suns
Shane Mumford,63.65,429000,,Greater Western Sydney Giants
Phil Davis,63.48,443000,,Greater Western Sydney Giants
Callum Brown,63.36,411000,,Collingwood Magpies
Nicholas Holman,63.33,,,Gold Coast Suns
Josh Daicos,63.2,496000,,Collingwood Magpies
Zac Fisher,63.19,504000,,Carlton Blues
James Rowbottom,63.17,222000,,Sydney Swans
Taylor Walker,63.14,449000,,Adeliade Crows
Kamdyn Mcintosh,63.12,396000,,Richmond Tigers
Aaron Naughton,63.09,377000,,Western Bulldogs
Jordan Clark,63.06,242000,,Geelong Cats
Mitchell Lewis,63,,,Hawthorn Hawks
Anthony McDonald-Tipungwuti,62.96,476000,,Essendon Bombers
Lewis Jetta,62.41,461000,,West Coast Eagles
Michael Gibbons,62.38,170000,,Carlton Blues
Jordan Lewis,62.33,575000,,Melbourne Demons
Brandon Matera,62,464000,,Fremantle Dockers
Ryan Clarke,62,511000,,Sydney Swans
Bailey Williams,62,580000,,Western Bulldogs
Jack Ross,62,186000,,Richmond Tigers
Jarrad McVeigh,62,572000,,Sydney Swans
Lachlan Plowman,61.95,351000,,Carlton Blues
Jake Waterman,61.92,398000,,West Coast Eagles
Marty Hore,61.86,170000,,Melbourne Demons
Alex Neal-Bullen,61.57,565000,,Melbourne Demons
Harry McKay,61.5,452000,,Carlton Blues
Michael Hibberd,61.32,499000,,Melbourne Demons
Dean Kent,61.23,431000,,St Kilda Saints
Samuel Reid,61.15,337000,,Greater Western Sydney Giants
Mason Wood,61.06,468000,,North Melbourne Kangaroos
Levi Greenwood,61.06,416000,,Collingwood Magpies
Adam Cerra,60.75,432000,,Fremantle Dockers
Shai Bolton,60.74,223000,,Richmond Tigers
Brent Daniels,60.73,276000,,Greater Western Sydney Giants
Paul Ahern,60.57,497000,,North Melbourne Kangaroos
Travis Colyer,60.4,464000,,Fremantle Dockers
Lincoln McCarthy,60.29,305000,,Brisbane Lions
Josh Thomas,59.91,526000,,Collingwood Magpies
Jake Lever,59.88,434000,,Melbourne Demons
Callum Wilkie,59.86,170000,,St Kilda Saints
Jack Riewoldt,59.85,616000,,Richmond Tigers
Mark O'Connor,59.83,292000,,Geelong Cats
Richard Douglas,59.67,536000,,Adeliade Crows
Nicholas Coffield,59.5,,,St Kilda Saints
Ben Paton,59.46,281000,,St Kilda Saints
Elliott Himmelberg,59.14,354000,,Adeliade Crows
Tim O'Brien,59.12,352000,,Hawthorn Hawks
Jimmy Webster,59.12,572000,,St Kilda Saints
Scott Thompson,59,,,North Melbourne Kangaroos
Jack Scrimshaw,59,203000,,Hawthorn Hawks
Luke Brown,58.93,449000,,Adeliade Crows
Taylor Garner,58.89,358000,,North Melbourne Kangaroos
Jesse Joyce,58.69,401000,,Gold Coast Suns
Alex Sexton,58.64,447000,,Gold Coast Suns
Eddie Betts,58.57,452000,,Adeliade Crows
Martin Gleeson,58.44,329000,,Essendon Bombers
Josh Bruce,58.41,379000,,St Kilda Saints
Jackson Thurlow,58.22,423000,,Sydney Swans
Ethan Hughes,58.1,381000,,Fremantle Dockers
Harrison Himmelberg,58.08,421000,,Greater Western Sydney Giants
Luke McDonald,58.08,510000,,North Melbourne Kangaroos
Tom Clurey,58.05,407000,,Port Adelaide Power
Zachary Clarke,57.89,,,Essendon Bombers
Darcy Gardiner,57.88,434000,,Brisbane Lions
Steven May,57.75,548000,,Melbourne Demons
Tory Dickson,57.59,371000,,Western Bulldogs
Nicholas Robertson,57.4,,,Brisbane Lions
Darcy Moore,57.24,410000,,Collingwood Magpies
Oscar Allen,57.14,276000,,West Coast Eagles
Jackson Trengove,56.88,522000,,Western Bulldogs
Jayden Laverde,56.8,390000,,Essendon Bombers
Liam Ryan,56.79,411000,,West Coast Eagles
Zak Butters,56.68,248000,,Port Adelaide Power
Dylan Grimes,56.67,380000,,Richmond Tigers
Daniel Talia,56.59,418000,,Adeliade Crows
Eric Hipwood,56.57,408000,,Brisbane Lions
Rhys Mathieson,56.56,447000,,Brisbane Lions
Charlie Dixon,56.44,517000,,Port Adelaide Power
Tom Cole,56.43,391000,,West Coast Eagles
Braydon Preuss,56.43,342000,,Melbourne Demons
Harry Taylor,56.42,432000,,Geelong Cats
Jay Lockhart,56.42,,,Melbourne Demons
Matt Guelfi,56.41,458000,,Essendon Bombers
Caleb Marchbank,56.38,392000,,Carlton Blues
Sam Switkowski,56.33,350000,,Fremantle Dockers
