50,Shaun Higgins,North Melbourne,17,76.18
51,Jack Crisp,Collingwood,19,76.11
52,Tim Kelly,West Coast,18,75.83
52,Jaeger O'Meara,Hawthorn,12,75.83
54,Jack Viney,Melbourne,16,75.44
55,Dustin Martin,Richmond,20,75.40
56,Nathan Fyfe,Fremantle,14,75.36
57,Patrick Cripps,Carlton,17,75.29
58,Tim Taranto,GWS,11,75.27
59,Blake Acres,Fremantle,7,74.43
60,Hugh McCluggage,Brisbane,19,74.26
61,Brad Crouch,Adelaide,12,74.17
62,Callum Mills,Sydney,15,73.80
63,Jack Billings,St Kilda,19,73.74
64,Jayden Short,Richmond,21,73.24
65,Michael Walters,Fremantle,14,73.14
66,Ed Langdon,Melbourne,17,72.94
67,Timothy English,Western Bulldogs,18,72.83
68,Luke McDonald,North Melbourne,17,72.53
69,Brandon Ellis,Gold Coast,16,72.44
70,Tom Hawkins,Geelong,21,72.38
71,Caleb Daniel,Western Bulldogs,18,72.17
72,Jared Polec,North Melbourne,13,71.77
73,Jordan Ridley,Essendon,17,71.59
74,David Swallow,Gold Coast,15,71.40
75,Zak Jones,St Kilda,16,71.31
75,Christian Salem,Melbourne,16,71.31
77,Dan Houston,Port Adelaide,17,71.24
78,Elliot Yeo,West Coast,10,71.20
79,Brayden Maynard,Collingwood,19,71.05
80,Sam Docherty,Carlton,16,70.94
81,Jy Simpkin,North Melbourne,17,70.82
82,Matt Rowell,Gold Coast,5,70.80
83,Devon Smith,Essendon,16,70.75
84,Nick Haynes,GWS,17,70.71
85,Isaac Heeney,Sydney,6,70.67
86,Luke Ryan,Fremantle,17,70.53
87,Jacob Hopper,GWS,17,70.47
88,Harry Perryman,GWS,16,70.19
89,Brad Ebert,Port Adelaide,14,70.14
90,Thomas Liberatore,Western Bulldogs,16,70.00
91,Daniel Rich,Brisbane,15,69.87
92,Dominic Sheed,West Coast,17,69.76
93,Nicholas Naitanui,West Coast,17,69.71
94,James Sicily,Hawthorn,11,69.45
95,Liam Duggan,West Coast,17,69.24
96,Bradley Sheppard,West Coast,18,69.06
96,Bailey Smith,Western Bulldogs,18,69.06
98,Rhys Stanley,Geelong,11,69.00
98,Jack Steven,Geelong,9,69.00
100,Jarrod Berry,Brisbane,17,68.94
101,Kyle Langford,Essendon,16,68.56
102,Luke Shuey,West Coast,13,68.54
103,James Cousins,Hawthorn,6,68.50
104,Brandan Parfitt,Geelong,18,68.39
105,Brodie Smith,Adelaide,16,68.25
106,Josh Daicos,Collingwood,18,67.89
107,Liam Shiels,Hawthorn,16,67.75
108,Dion Prestia,Richmond,9,67.67
109,Chad Wingard,Hawthorn,17,67.47
110,Toby Nankervis,Richmond,11,67.18
111,Will Setterfield,Carlton,16,67.00
111,Joel Selwood,Geelong,15,67.00
113,Caleb Serong,Fremantle,14,66.64
114,Marc Murphy,Carlton,17,66.41
115,Jordan Dawson,Sydney,16,66.31
116,Adam Saad,Essendon,17,66.24
117,Adam Cerra,Fremantle,17,66.06
117,David Mundy,Fremantle,16,66.06
119,Bachar Houli,Richmond,13,65.92
120,Toby Greene,GWS,13,65.69
121,Zachary Williams,GWS,11,65.64
122,Matthew Kennedy,Carlton,7,65.57
123,Darcy Parish,Essendon,17,65.35
124,Scott Lycett,Port Adelaide,15,65.07
125,Lachlan Weller,Gold Coast,17,65.00
126,Trent Cotchin,Richmond,17,64.94
127,Isaac Smith,Hawthorn,10,64.80
128,Shannon Hurn,West Coast,17,64.59
129,Jarrod Witts,Gold Coast,17,64.35
130,Shai Bolton,Richmond,19,64.16
131,Sam Jacobs,GWS,7,64.14
132,Tom Lynch,Adelaide,13,63.77
133,Ben Keays,Adelaide,16,63.75
134,Jack Bowes,Gold Coast,17,63.71
135,Jack Martin,Carlton,15,63.67
136,Bailey Williams,Western Bulldogs,18,63.61
137,Hunter Clark,St Kilda,18,63.56
137,Paul Seedsman,Adelaide,9,63.56
139,Karl Amon,Port Adelaide,19,63.47
140,Angus Brayshaw,Melbourne,14,63.21
141,Tom Phillips,Collingwood,15,63.07
142,Nicholas Coffield,St Kilda,18,63.06
143,Zach Tuohy,Geelong,19,63.00
144,Kane Lambert,Richmond,20,62.40
145,Jack Lukosius,Gold Coast,17,62.29
146,Ben Ainsworth,Gold Coast,16,62.00
147,Jason Johannisen,Western Bulldogs,17,61.88
148,Darcy Byrne-Jones,Port Adelaide,19,61.68
149,James Aish,Fremantle,16,61.56
150,Jade Gresham,St Kilda,11,61.55
151,Patrick Ryder,St Kilda,14,61.43
152,Michael Gibbons,Carlton,15,61.27
153,Steven May,Melbourne,17,61.24
154,Aaron Hall,North Melbourne,15,61.13
155,Jack Gunston,Hawthorn,16,61.06
156,Robbie Gray,Port Adelaide,19,60.89
157,Zak Butters,Port Adelaide,17,60.88
158,Gryan Miers,Geelong,21,60.81
159,Rory Sloane,Adelaide,12,60.75
160,Hamish Hartlett,Port Adelaide,19,60.58
161,Callum Sinclair,Sydney,13,60.54
162,Michael Hurley,Essendon,14,60.36
163,Oliver Florent,Sydney,17,60.35
164,Lewis Jetta,West Coast,6,60.17
165,Hayden Crozier,Western Bulldogs,15,60.13
166,Mark Blicavs,Geelong,21,60.00
166,Jonathon Ceglar,Hawthorn,13,60.00
166,Ricky Henderson,Hawthorn,7,60.00
169,Ryan Clarke,Sydney,10,59.90
170,Sebastian Ross,St Kilda,16,59.81
171,Oscar McInerney,Brisbane,19,59.68
172,Will Day,Hawthorn,11,59.64
173,Zac Bailey,Brisbane,19,59.63
174,Daniel Butler,St Kilda,19,59.58
175,Jack Graham,Richmond,16,59.06
176,Jack Higgins,Richmond,10,59.00
176,Tom Doedee,Adelaide,9,59.00
176,Jake Riccardi,GWS,5,59.00
179,Noah Anderson,Gold Coast,17,58.88
180,Kade Simpson,Carlton,17,58.76
181,Matthew Taberner,Fremantle,16,58.62
182,Jack Redden,West Coast,13,58.54
183,John Noble,Collingwood,17,58.53
184,Darcy Tucker,Fremantle,8,58.50
185,Robbie Tarrant,North Melbourne,16,58.44
186,Jack Scrimshaw,Hawthorn,13,58.31
187,Tom Papley,Sydney,17,58.18
188,Lachlan Fogarty,Geelong,6,58.17
189,Harry Cunningham,Sydney,17,58.12
190,Bayley Fritsch,Melbourne,16,57.94
191,Lachlan Henderson,Geelong,14,57.93
192,Jackson Hately,GWS,6,57.83
193,Shane Edwards,Richmond,10,57.70
194,Sam Mayes,Port Adelaide,6,57.67
195,Peter Ladhams,Port Adelaide,10,57.60
196,Michael Hibberd,Melbourne,14,57.57
197,Sam Powell-Pepper,Port Adelaide,19,57.53
198,Patrick Lipinski,Western Bulldogs,13,57.46
199,Reece Conca,Fremantle,14,57.43
200,Jordan De Goey,Collingwood,10,57.20
201,Jack Newnes,Carlton,17,57.18
202,Brett Bewley,Fremantle,12,57.08
203,Nick Vlastuin,Richmond,20,57.05
204,Dylan Stephens,Sydney,8,57.00
204,Rupert Wills,Collingwood,8,57.00
206,Jackson Nelson,West Coast,15,56.93
207,Charlie Dixon,Port Adelaide,18,56.89
208,Daniel Hannebery,St Kilda,8,56.88
209,Jeremy McGovern,West Coast,12,56.83
210,Mitch Robinson,Brisbane,19,56.79
211,Rory Lobb,Fremantle,17,56.76
212,Liam Ryan,West Coast,18,56.56
213,Xavier Duursma,Port Adelaide,15,56.53
214,Jamie Elliott,Collingwood,18,56.50
215,Luke Davies-Uniacke,North Melbourne,9,56.44
216,Bradley Hill,St Kilda,19,56.42
217,James Rowbottom,Sydney,16,56.12
218,Liam Baker,Richmond,20,56.05
219,Gary Ablett,Geelong,12,56.00
220,Mitchell Brown,Melbourne,5,55.80
220,Brayden Fiorini,Gold Coast,5,55.80
222,Jackson Thurlow,Sydney,8,55.75
223,Heath Shaw,GWS,17,55.59
224,Christopher Mayne,Collingwood,14,55.36
225,Connor Rozee,Port Adelaide,16,55.31
226,Jasper Pittard,North Melbourne,11,55.18
227,Kamdyn Mcintosh,Richmond,18,55.17
228,Luke Breust,Hawthorn,13,55.08
229,David Zaharakis,Essendon,10,54.90
230,Sam Simpson,Geelong,9,54.89
231,Oscar Allen,West Coast,15,54.80
232,Marc Pittonet,Carlton,13,54.69
233,Will Snelling,Essendon,17,54.59
234,Shaun Atley,North Melbourne,17,54.53
235,Justin Westhoff,Port Adelaide,12,54.42
236,Charlie Cameron,Brisbane,19,54.37
237,Jye Caldwell,GWS,9,54.22
238,Jamie Cripps,West Coast,14,54.21
239,Jack Darling,West Coast,18,54.17
240,Sam Petrevski-Seton,Carlton,16,54.12
241,Tim Membrey,St Kilda,18,53.89
242,Mitchell Hibberd,Essendon,5,53.80
243,Jack Sinclair,St Kilda,12,53.75
244,Ivan Soldo,Richmond,14,53.57
245,Levi Casboult,Carlton,17,53.53
246,Zac Fisher,Carlton,8,53.50
247,Toby McLean,Western Bulldogs,12,53.17
248,Jake Carlisle,St Kilda,13,53.15
249,Jason Castagna,Richmond,21,53.00
249,Callan Ward,GWS,7,53.00
251,Tom Green,GWS,6,52.67
252,Shane McAdam,Adelaide,13,52.62
253,David Astbury,Richmond,9,52.56
254,Dane Rampe,Sydney,11,52.45
255,Harry Morrison,Hawthorn,11,52.36
256,Trent Rivers,Melbourne,9,52.22
257,Jake Waterman,West Coast,10,52.20
257,Darcy Fort,Geelong,5,52.20
259,Callum Ah Chee,Brisbane,18,52.11
260,Luke Dahlhaus,Geelong,16,52.00
261,Jack Lonie,St Kilda,13,51.92
262,Isaac Quaynor,Collingwood,11,51.91
263,Conor McKenna,Essendon,6,51.83
264,David MacKay,Adelaide,10,51.80
265,Marlion Pickett,Richmond,19,51.79
265,Josh Battle,St Kilda,14,51.79
267,Nathan Wilson,Fremantle,15,51.73
268,Adam Tomlinson,Melbourne,13,51.69
269,Sean Darcy,Fremantle,15,51.67
270,Cameron Rayner,Brisbane,17,51.53
271,Daniel Rioli,Richmond,18,51.50
272,Ethan Hughes,Fremantle,17,51.47
273,Grant Birchall,Brisbane,16,51.31
274,Connor Blakely,Fremantle,5,51.20
275,Jeremy Cameron,GWS,17,51.12
276,Darcy Moore,Collingwood,18,51.06
277,Ryan Lester,Brisbane,15,51.00
277,Josh Caddy,Richmond,8,51.00
279,Jack Ross,Richmond,7,50.71
280,Tom Cutler,Essendon,8,50.62
280,Sam Draper,Essendon,8,50.62
282,Josh Rotham,West Coast,10,50.50
282,George Hewett,Sydney,6,50.50
284,Justin Mcinerney,Sydney,9,50.44
285,David Cuningham,Carlton,12,50.42
286,Lachlan Schultz,Fremantle,17,50.41
287,Aidan Corr,GWS,15,50.33
288,Stephen Hill,Fremantle,12,50.25
289,Elliott Himmelberg,Adelaide,11,50.09
290,Eric Hipwood,Brisbane,19,50.05
291,Ben McEvoy,Hawthorn,16,50.00
291,Jeremy Finlayson,GWS,15,50.00
293,Jarrod Brander,West Coast,8,49.88
294,Wil Powell,Gold Coast,15,49.80
295,Will Hoskin-Elliott,Collingwood,18,49.78
296,Trent McKenzie,Port Adelaide,17,49.76
297,James Harmes,Melbourne,13,49.69
298,Alex Sexton,Gold Coast,14,49.57
299,Cameron Zurhaar,North Melbourne,16,49.44
299,Riley Bonner,Port Adelaide,9,49.44
301,Jamie MacMillan,North Melbourne,10,49.30
302,Lincoln McCarthy,Brisbane,17,49.29
303,Lachlan Sholl,Adelaide,8,49.25
304,Andrew Phillips,Essendon,5,49.20
305,Ryan Burton,Port Adelaide,8,49.12
306,Ben Paton,St Kilda,19,49.11
307,Brody Mihocek,Collingwood,18,49.00
308,Shane Mumford,GWS,10,48.90
309,Jesse Hogan,Fremantle,7,48.71
310,Izak Rankine,Gold Coast,12,48.67
311,Nathan Jones,Melbourne,8,48.62
312,Esava Ratugolea,Geelong,12,48.50
313,Tom Lynch,Richmond,19,48.32
314,Nathan Broad,Richmond,16,48.19
315,Gary Rohan,Geelong,19,48.16
316,Harry McKay,Carlton,13,48.08
317,Mark O'Connor,Geelong,21,48.00
317,Jack Madgen,Collingwood,13,48.00
319,Darcy Macpherson,Gold Coast,12,47.92
320,Jack Riewoldt,Richmond,21,47.81
321,Callum Wilkie,St Kilda,19,47.79
322,Brent Daniels,GWS,16,47.56
323,Bailey Scott,North Melbourne,13,47.54
324,Will Hayward,Sydney,16,47.38
325,Blake Hardwick,Hawthorn,16,47.31
326,Stefan Martin,Brisbane,8,47.25
327,Jaidyn Stephenson,Collingwood,14,47.21
328,Derek Eggmolesse-Smith,Richmond,6,47.17
329,Nick Blakey,Sydney,16,47.12
330,Daniel Lloyd,GWS,12,47.08
331,Luke Brown,Adelaide,17,47.06
332,Joshua Kennedy,West Coast,17,47.00
332,Levi Greenwood,Collingwood,6,47.00
334,Matt Guelfi,Essendon,11,46.73
335,Anthony McDonald-Tipungwuti,Essendon,17,46.71
336,Quinton Narkle,Geelong,5,46.60
337,Andrew McPherson,Adelaide,9,46.56
338,Pearce Hanley,Gold Coast,8,46.50
339,Tom Scully,Hawthorn,14,46.43
340,Dean Kent,St Kilda,15,46.40
341,Mason Redman,Essendon,13,46.38
342,Taylin Duman,Fremantle,15,46.33
342,Aaron Vandenberg,Melbourne,12,46.33
342,Ed Vickers-Willis,North Melbourne,6,46.33
345,Samuel Collins,Gold Coast,17,46.29
345,Jacob Weitering,Carlton,17,46.29
347,Marley Williams,North Melbourne,8,46.25
348,Jake Lever,Melbourne,17,46.24
349,Mitchell Wallis,Western Bulldogs,18,46.22
350,Mitchell Crowden,Fremantle,10,46.20
351,Jake Kolodjashnij,Geelong,17,46.00
351,Curtis Taylor,North Melbourne,9,46.00
351,Ben Crocker,Adelaide,7,46.00
354,Jed Bews,Geelong,20,45.95
355,Callum Brown,Collingwood,14,45.93
356,Todd Marshall,Port Adelaide,14,45.86
356,Mitch Georgiades,Port Adelaide,7,45.86
358,Jarrod Lienert,Port Adelaide,5,45.80
359,Cale Hooker,Essendon,8,45.75
360,Sam Wicks,Sydney,7,45.71
361,Shaun Burgoyne,Hawthorn,13,45.62
362,Tom Cole,West Coast,15,45.60
363,Thomas Jonas,Port Adelaide,19,45.47
364,Bailey Banfield,Fremantle,5,45.40
365,Harris Andrews,Brisbane,16,45.38
366,Ben Long,St Kilda,15,45.20
367,Tom Bellchambers,Essendon,7,45.14
368,Laitham Vandermeer,Western Bulldogs,12,45.00
368,Myles Poholke,Adelaide,5,45.00
370,Jarrod Harbrow,Gold Coast,13,44.77
371,Harrison Himmelberg,GWS,16,44.75
372,Sam Lloyd,Western Bulldogs,9,44.67
373,Steven Motlop,Port Adelaide,14,44.64
374,Tom McDonald,Melbourne,9,44.44
375,Eddie Betts,Carlton,15,44.40
375,Tom Williamson,Carlton,15,44.40
375,Sam Reid,Sydney,10,44.40
375,Daniel Howe,Hawthorn,5,44.40
379,Darcy Gardiner,Brisbane,18,44.39
380,Lachlan Plowman,Carlton,16,44.38
380,Matthew De Boer,GWS,13,44.38
382,Jayden Laverde,Essendon,6,44.33
383,Noah Answerth,Brisbane,9,44.22
384,Aliir Aliir,Sydney,14,44.14
385,Tom Barrass,West Coast,18,44.00
385,Lachlan Ash,GWS,12,44.00
385,Kane Farrell,Port Adelaide,11,44.00
388,Dougal Howard,St Kilda,19,43.89
388,Lewis Taylor,Sydney,9,43.89
390,Joshua Walker,North Melbourne,17,43.88
391,Dylan Grimes,Richmond,20,43.85
392,Lachlan Murphy,Adelaide,12,43.75
393,Tom Sparrow,Melbourne,5,43.60
394,Jack Henry,Geelong,21,43.52
395,Jake Aarts,Richmond,14,43.50
396,Jake Melksham,Melbourne,17,43.47
397,Brennan Cox,Fremantle,13,43.46
398,Cameron Ellis-Yolmen,Brisbane,9,43.44
399,Keidean Coleman,Brisbane,5,43.40
399,Boyd Woodcock,Port Adelaide,5,43.40
401,Nicholas Holman,Gold Coast,12,43.33
402,Darcy Cameron,Collingwood,10,43.30
403,Sam Gray,Sydney,7,43.14
404,Noah Balta,Richmond,17,43.06
405,Josh Corbett,Gold Coast,7,43.00
406,Nick Hind,St Kilda,10,42.90
407,Oleg Markov,Richmond,6,42.67
408,Tom Clurey,Port Adelaide,18,42.61
409,Robbie Fox,Sydney,14,42.50
410,Alex Neal-Bullen,Melbourne,7,42.29
411,Max King,St Kilda,18,42.22
412,Thomas Murphy,North Melbourne,5,42.20
413,Jarryn Geary,St Kilda,16,42.19
414,Dylan Clarke,Essendon,8,42.00
415,Tom De Koning,Carlton,7,41.86
416,Charlie Ballard,Gold Coast,16,41.62
417,Ian Hill,GWS,5,41.60
417,Hayden Young,Fremantle,5,41.60
419,Mitch McGovern,Carlton,12,41.50
419,Aaron Francis,Essendon,8,41.50
421,Adam Kennedy,GWS,6,41.33
422,Jake Stringer,Essendon,10,41.30
423,Harry Schoenberg,Adelaide,8,41.25
424,Easton Wood,Western Bulldogs,13,41.23
425,Travis Varcoe,Collingwood,9,41.22
426,James Bell,Sydney,8,41.12
427,Brandon Starcevich,Brisbane,18,41.06
428,Roarke Smith,Western Bulldogs,6,41.00
428,Matt Cottrell,Carlton,5,41.00
430,Alex Keath,Western Bulldogs,18,40.89
431,Tim O'Brien,Hawthorn,16,40.81
432,Ed Richards,Western Bulldogs,17,40.71
433,Tyson Stengle,Adelaide,12,40.58
434,Josh Thomas,Collingwood,14,40.57
435,Billy Frampton,Adelaide,5,40.40
436,Bradley Close,Geelong,8,40.38
437,Brayden Ham,Essendon,10,40.30
438,Bailey Dale,Western Bulldogs,9,40.22
439,Paul Puopolo,Hawthorn,6,40.17
440,Harry Taylor,Geelong,19,40.11
441,James Stewart,Essendon,10,40.10
442,Martin Gleeson,Essendon,13,40.08
443,Sam Day,Gold Coast,17,40.06
444,Matthew Suckling,Western Bulldogs,7,39.71
445,Brendon Ah Chee,West Coast,16,39.69
446,Jake Kelly,Adelaide,15,39.60
447,Shaun McKernan,Essendon,9,39.56
448,Sam Frost,Hawthorn,16,39.50
448,Tom Atkins,Geelong,12,39.50
448,Jonathon Marsh,St Kilda,6,39.50
451,Sam Weideman,Melbourne,13,39.31
452,Daniel McStay,Brisbane,17,39.29
453,Tyler Brown,Collingwood,9,39.22
454,Orazio Fantasia,Essendon,5,39.20
455,Jordan Roughead,Collingwood,17,39.18
456,Paul Ahern,North Melbourne,6,39.17
457,Tarryn Thomas,North Melbourne,6,38.83
458,Liam Jones,Carlton,17,38.76
459,Josh Bruce,Western Bulldogs,17,38.59
460,Ben Brown,North Melbourne,9,38.56
461,Ben King,Gold Coast,17,38.47
462,Tom McCartin,Sydney,14,38.43
462,Taylor Walker,Adelaide,14,38.43
464,Kyle Hartigan,Adelaide,12,38.33
464,Hayden McLean,Sydney,6,38.33
466,Mason Cox,Collingwood,11,38.27
467,Xavier O'Neill,West Coast,5,38.20
468,Aaron Naughton,Western Bulldogs,12,38.17
468,Luke Jackson,Melbourne,6,38.17
470,Oliver Hanrahan,Hawthorn,7,38.14
471,Mitchell Hannan,Melbourne,9,38.11
472,Ben McKay,North Melbourne,11,38.00
472,Jay Lockhart,Melbourne,10,38.00
472,Charlie Spargo,Melbourne,8,38.00
472,Harley Bennell,Melbourne,5,38.00
472,Jarman Impey,Hawthorn,5,38.00
477,Jack Ziebell,North Melbourne,8,37.62
478,Ned McHenry,Adelaide,8,37.50
479,Lewis Melican,Sydney,9,37.44
479,Sydney Stack,Richmond,9,37.44
481,Connor Budarick,Gold Coast,15,37.40
482,Zaine Cordy,Western Bulldogs,14,37.14
483,Mason Wood,North Melbourne,8,37.00
484,Daniel Talia,Adelaide,14,36.79
485,Kyron Hayden,North Melbourne,8,36.50
486,Colin O'Riordan,Sydney,8,36.38
487,Lachlan Keeffe,GWS,13,36.08
488,Phil Davis,GWS,10,36.00
488,Darcy Fogarty,Adelaide,10,36.00
488,Changkuoth Jiath,Hawthorn,5,36.00
491,Jayden Hunt,Melbourne,6,35.83
492,Oscar McDonald,Melbourne,7,35.71
493,Brayden Ainsworth,West Coast,9,35.67
494,Griffin Logue,Fremantle,5,35.20
495,Zac Langdon,GWS,7,35.14
496,Jack Mahony,North Melbourne,10,35.00
496,Brandon Matera,Fremantle,5,35.00
498,Mabior Chol,Richmond,11,34.82
499,Nick Larkey,North Melbourne,10,34.80
500,Jacob Townsend,Essendon,12,34.50
501,Travis Colyer,Fremantle,9,34.33
502,Lachlan Hosie,North Melbourne,5,34.20
502,Jack Payne,Brisbane,5,34.20
504,Kysaiah Pickett,Melbourne,14,34.07
505,Benjamin Stratton,Hawthorn,14,33.79
506,Sean Lemmens,Gold Coast,6,33.67
507,Aiden Bonar,North Melbourne,6,33.17
508,Chayce Jones,Adelaide,15,32.80
509,Brandon Zerk-Thatcher,Essendon,10,32.40
510,Will Hamill,Adelaide,8,32.12
511,James Frawley,Hawthorn,14,32.00
512,Sam Flanders,Gold Coast,5,31.20
513,Minairo Frederick,Fremantle,10,30.60
514,Jack Petruccelle,West Coast,6,30.00
515,Ryan Gardner,Western Bulldogs,10,29.60
516,Caleb Graham,Gold Coast,7,28.57
517,Thomas Berry,Brisbane,6,28.00
518,Mitchell Lewis,Hawthorn,8,27.88
519,Fischer McAsey,Adelaide,10,27.40
520,Archie Smith,Brisbane,5,26.60
521,Jonathon Patton,Hawthorn,6,22.67
522,Jarrod Cameron,West Coast,5,22.20
523,Joel Smith,Melbourne,7,21.57
524,Neville Jetta,Melbourne,6,20.83
