Cameron Ellis-Yolmen,MID,87.9,10,652000
Stefan Martin,RUC,84.8,22,629000
Jarrod Berry,MID,79.6,18,591000
Alex Witherden,DEF,74.8,21,555000
Charlie Cameron,FWD,67.3,22,499000
Allen Christensen,FWD,64.2,11,476000
Ryan Lester,DEF,55.8,9,457000
Lincoln McCarthy,FWD,59.9,22,444000
Rhys Mathieson,MID/FWD,56.6,9,443000
Marcus Adams,DEF,49.4,8,430000
Grant Birchall,DEF,73,3,428000
Darcy Gardiner,DEF,57.7,22,428000
Eric Hipwood,FWD,57.1,21,424000
Harris Andrews,DEF,56.3,19,418000
Oscar McInerney,RUC/FWD,56.2,19,417000
Noah Answerth,DEF,56.1,17,416000
Daniel McStay,FWD,51.6,22,383000
Zac Bailey,DEF/MID,48.2,13,358000
Callum Ah Chee,MID,62,1,345000
Cameron Rayner,FWD,45,22,334000
Mitchell Hinge,MID,54.5,2,307000
Jacob Allison,MID,43.5,2,271000
Archie Smith,RUC,46,2,259000
Cedric Cox,FWD,44,1,245000
Sam Skinner,FWD,0,0,232000
Deven Robertson,MID,0,0,228000
Brock Smith,DEF,0,0,206000
Keidean Coleman,MID/FWD,0,0,198000
Brandon Starcevich,DEF/MID,31,1,189000
James Madden,DEF/FWD,0,0,170000
Jack Payne,DEF,0,0,170000
Connor Ballenden,FWD,0,0,170000
Thomas Berry,FWD,0,0,170000
Thomas Fullarton,FWD,0,0,170000
Connor McFadyen,FWD,0,0,170000
Toby Wooller,MID/FWD,0,0,170000
Tom Joyce,MID/FWD,0,0,170000
Ely Smith,MID/FWD,0,0,170000
Jaxon Prior,DEF,0,0,170000
Corey Lyons,MID,0,0,170000
Matt Eagles,DEF,0,0,170000
Andrew Gaff,MID,111,20,824000
Elliot Yeo,MID,102.7,21,762000
Luke Shuey,MID,101,22,749000
Tim Kelly,MID,96.9,22,719000
Dom Sheed,MID,95,22,705000
Jack Redden,MID,91.8,21,681000
Shannon Hurn,DEF,91.4,19,678000
Brad Sheppard,DEF,82.4,22,611000
Jack Darling,FWD,71.3,22,529000
Tom Hickey,RUC,69.3,18,514000
Jeremy McGovern,DEF,68.8,21,511000
Liam Duggan,DEF,66.7,15,495000
Jamie Cripps,FWD,64.1,17,476000
Willie Rioli,FWD,63.8,13,473000
Nic Naitanui,RUC,72.3,3,471000
Jake Waterman,FWD,61.4,11,456000
Lewis Jetta,DEF,61.2,20,454000
Oscar Allen,FWD,57.1,21,424000
Liam Ryan,FWD,56.9,22,422000
Thomas Cole,DEF,56.4,14,419000
Tom Barrass,DEF,56.3,12,418000
Josh J. Kennedy,FWD,54.1,20,401000
Jack Petruccelle,FWD,51.1,19,379000
Mark Hutchings,MID,51,16,378000
Brendon Ah Chee,MID,69,1,374000
Nathan Vardy,RUC,50.2,11,373000
Francis Watson,DEF,64,2,361000
Jackson Nelson,DEF,48.3,11,358000
Jarrod Cameron,FWD,50,7,338000
Josh Rotham,DEF,55.3,4,336000
Brayden Ainsworth,MID,0,0,334000
Daniel Venables,FWD,44.7,6,300000
Will Schofield,DEF,36.3,12,269000
Jarrod Brander,DEF/FWD,38.5,2,217000
Callum Jamieson,RUC,0,0,174000
Luke Foley,DEF,0,0,170000
Xavier O'Neill,MID,0,0,170000
Harry Edwards,DEF,0,0,170000
Bailey Williams,DEF,0,0,170000
Ben Johnson,DEF,0,0,170000
Anthony Treacy,FWD,0,0,170000
Mitchell O'Neill,MID,0,0,170000
Hamish Brayshaw,MID,0,0,170000
Jack Macrae,MID,115.6,22,858000
Josh Dunkley,MID,111.1,22,824000
Marcus Bontempelli,MID,104.7,22,777000
Lachie Hunter,MID,98.6,22,732000
Caleb Daniel,DEF,93.8,17,696000
Patrick Lipinski,MID/FWD,85.5,13,634000
Matthew Suckling,DEF,84.7,18,629000
Jason Johannisen,DEF,82.1,19,609000
Mitch Wallis,MID/FWD,79.3,10,588000
Sam Lloyd,FWD,77.8,22,577000
Bailey Williams,DEF,62,9,575000
Tim English,RUC,77.1,19,572000
Taylor Duryea,DEF,76.7,13,569000
Tom Liberatore,MID,76,15,564000
Hayden Crozier,DEF,71.6,21,531000
Bailey Smith,MID/FWD,69.2,22,513000
Toby McLean,FWD,68.2,18,506000
Bailey Dale,FWD,69.4,9,500000
Alex Keath,DEF,67.1,18,498000
Will Hayes,MID,69.4,8,484000
Aaron Naughton,FWD,64,22,475000
Josh Bruce,FWD,58.4,22,433000
Tory Dickson,FWD,57.6,17,427000
Jackson Trengove,DEF,56.9,16,422000
Josh Schache,FWD,55,13,408000
Ed Richards,MID/FWD,50.9,19,378000
Easton Wood,DEF,46.7,22,347000
Roarke Smith,MID/FWD,52.2,5,329000
Billy Gowers,FWD,43.7,10,324000
Lewis Young,DEF,52.3,4,318000
Lachlan Young,DEF,47.2,6,308000
Lin Jong,MID,0,0,307000
Rhylee West,FWD,53.5,2,302000
Zaine Cordy,DEF,40.5,22,301000
Fergus Greene,FWD,0,0,266000
Cody Weightman,FWD,0,0,242000
Brad Lynch,DEF,0,0,230000
Ryan Gardner,FWD,29,2,170000
Buku Khamis,DEF,0,0,170000
Callum Porter,MID,0,0,170000
Louis Butler,DEF/MID,0,0,170000
Riley Garcia,MID,0,0,170000
Laitham Vandermeer,MID/FWD,0,0,170000
Ben Cavarra,FWD,0,0,170000
Jordon Sweet,RUC,0,0,170000
Zach Merrett,MID,108.2,22,803000
Dylan Shiel,MID,98.3,21,729000
Devon Smith,MID/FWD,79.4,7,720000
Dyson Heppell,MID,93.8,17,696000
David Zaharakis,MID,79.5,20,590000
Darcy Parish,MID/FWD,79.4,20,589000
Michael Hurley,DEF,77.4,18,574000
Andrew McGrath,MID,74.7,22,554000
Cale Hooker,DEF,74.5,17,553000
Tom Bellchambers,RUC,71.6,15,531000
Kyle Langford,MID/FWD,70.6,17,524000
Conor McKenna,DEF,70.3,21,522000
Mason Redman,DEF,68.9,19,511000
Andrew Phillips,RUC,80.4,5,507000
Shaun McKernan,FWD,68,15,505000
Adam Saad,DEF,67.3,21,499000
Tom Cutler,MID,80.3,3,496000
Dylan Clarke,MID,66.2,11,491000
Jake Stringer,FWD,65.3,18,485000
Anthony McDonald-Tipungwuti,FWD,62.9,22,467000
Jordan Ridley,DEF,68,6,444000
Jayden Laverde,FWD,58.6,9,425000
William Snelling,FWD,71.7,3,420000
Joe Daniher,FWD,69,4,420000
Martin Gleeson,DEF,58.4,9,420000
Matt Guelfi,MID,56.4,17,419000
Orazio Fantasia,FWD,54.4,14,404000
Aaron Francis,DEF,53.9,16,400000
Josh Begley,FWD,51.8,8,361000
Kobe Mutch,MID,0,1,334000
Patrick Ambrose,DEF,44,19,326000
James Stewart,FWD,0,0,316000
Brandon Zerk-Thatcher,DEF,56,1,312000
Brayden Ham,MID/FWD,49.8,4,303000
Jacob Townsend,FWD,17,1,266000
Harrison Jones,FWD,0,0,212000
Mitchell Hibberd,MID,0,0,197000
Nick Bryan,RUC,0,0,196000
Sam Draper,RUC,0,0,170000
Ned Cahill,MID/FWD,0,0,170000
Lachlan Johnson,MID/FWD,0,0,170000
Noah Gown,FWD,0,0,170000
Irving Mosquito,FWD,0,0,170000
Cian McBride,DEF,0,0,170000
Ross McQuillan,DEF/FWD,0,0,170000
Jaeger O'Meara,MID,99.6,21,739000
James Worpel,MID,96.7,22,718000
Ricky Henderson,MID,96.6,22,717000
Liam Shiels,MID,95.4,19,708000
Tom Mitchell,MID,0,0,671000
Isaac Smith,MID,84.9,19,630000
James Sicily,DEF,83.6,22,620000
Ben McEvoy,RUC,83.3,19,618000
Chad Wingard,MID/FWD,78.4,14,582000
Jack Gunston,FWD,76.1,20,565000
Jonathon Ceglar,RUC/FWD,75.7,15,562000
James Cousins,MID,73.3,12,544000
Blake Hardwick,DEF,72.3,22,536000
Jarman Impey,DEF,71.4,17,530000
Shaun Burgoyne,DEF,70.7,18,525000
Luke Breust,FWD,68.2,22,506000
Daniel Howe,DEF/MID,67.4,12,500000
Tom Scully,MID,66.1,21,490000
Harry Morrison,MID/FWD,53.7,9,477000
Mitch Lewis,FWD,63,12,467000
Tim O'Brien,DEF/FWD,59.1,16,439000
Jack Scrimshaw,DEF,59,10,438000
Paul Puopolo,FWD,54.7,22,406000
Sam Frost,DEF,52.5,22,390000
Oliver Hanrahan,FWD,51.7,9,372000
James Frawley,DEF,49.8,18,370000
Jonathon Patton,RUC/FWD,0,0,366000
Dylan Moore,FWD,54.1,7,365000
Conor Glass,DEF,50.9,7,344000
Michael Hartley,DEF,57.3,3,336000
Changkuoth Jiath,DEF,53.5,2,302000
Conor Nash,FWD,40.5,14,301000
Ben Stratton,DEF,37.3,19,277000
Will Day,DEF,0,0,246000
Finn Maginness,MID,0,0,214000
Harrison Jones,MID,0,0,170000
Jacob Koschitzke,DEF,0,0,170000
Jackson Ross,FWD,0,0,170000
Ned Reeves,RUC,0,0,170000
Josh Morris,FWD,0,0,170000
Emerson Jeka,FWD,0,0,170000
Damon Greaves,DEF,0,0,170000
Mathew Walker,FWD,0,0,170000
Will Golds,MID/FWD,0,0,170000
Harrison Pepper,DEF,0,0,170000
Travis Boak,MID,105.7,21,784000
Tom Rockliff,MID,99.3,18,737000
Ollie Wines,MID,93.3,12,692000
Darcy Byrne-Jones,DEF,86.3,22,640000
Scott Lycett,RUC,83.4,18,619000
