Rory Sloane,60.75,739000,Midfield,Adeliade Crows,0,8.220568335588634e-05
Hamish Hartlett,60.58,567000,Defender,Port Adelaide Power,0,0.00010684303350970018
Callum Sinclair,60.54,568000,Ruck,Sydney Swans,2,0.00010658450704225352
Michael Hurley,60.36,574000,Defender,Essendon Bombers,0,0.00010515679442508711
Oliver Florent,60.35,514000,Midfield,Sydney Swans,1,0.0001174124513618677
Lewis Jetta,60.17,454000,Defender,West Coast Eagles,0,0.0001325330396475771
Hayden Crozier,60.13,531000,Defender,Western Bulldogs,0,0.0001132391713747646
Mark Blicavs,60.0,505000,Defender,Geelong Cats,0,0.00011881188118811881
Jonathon Ceglar,60.0,562000,Ruck,Hawthorn Hawks,5,0.00010676156583629893
Ricky Henderson,60.0,717000,Midfield,Hawthorn Hawks,0,8.368200836820084e-05
Ryan Clarke,59.9,460000,Midfield,Sydney Swans,1,0.00013021739130434783
Sebastian Ross,59.81,700000,Midfield,St Kilda Saints,6,8.544285714285715e-05
Oscar McInerney,59.68,417000,Ruck,Brisbane Lions,3,0.00014311750599520383
Will Day,59.64,246000,Defender,Hawthorn Hawks,3,0.0002424390243902439
Zac Bailey,59.63,358000,Defender,Brisbane Lions,5,0.00016656424581005586
Daniel Butler,59.58,384000,Forward,St Kilda Saints,0,0.00015515625
Jack Graham,59.06,615000,Midfield,Richmond Tigers,0,9.603252032520326e-05
Jack Higgins,59.0,497000,Forward,Richmond Tigers,0,0.0001187122736418511
Tom Doedee,59.0,403000,Defender,Adeliade Crows,0,0.00014640198511166254
Jake Riccardi,59.0,170000,Forward,Greater Western Sydney Giants,0,0.0003470588235294118
Noah Anderson,58.88,268000,Midfield,Gold Coast Suns,21,0.00021970149253731344
Kade Simpson,58.76,595000,Defender,Carlton Blues,0,9.87563025210084e-05
Matthew Taberner,58.62,622000,Forward,Fremantle Dockers,0,9.424437299035369e-05
Jack Redden,58.54,681000,Midfield,West Coast Eagles,0,8.596182085168869e-05
John Noble,58.53,400000,Defender,Collingwood Magpies,2,0.000146325
Darcy Tucker,58.5,539000,Midfield,Fremantle Dockers,3,0.0001085343228200371
Robbie Tarrant,58.44,482000,Defender,North Melbourne Kangaroos,0,0.0001212448132780083
Jack Scrimshaw,58.31,438000,Defender,Hawthorn Hawks,0,0.00013312785388127854
Tom Papley,58.18,574000,Forward,Sydney Swans,0,0.0001013588850174216
Lachlan Fogarty,58.17,326000,Forward,Geelong Cats,0,0.0001784355828220859
Harry Cunningham,58.12,581000,Defender,Sydney Swans,0,0.00010003442340791738
