David Mundy,60.25,597000,Midfield,Fremantle Dockers,0,0.00010092127303182579
Bachar Houli,82.5,766000,Defender,Richmond Tigers,0,0.0001077023498694517
Toby Greene,67.75,730000,Forward,Greater Western Sydney Giants,1,9.280821917808219e-05
Zachary Williams,34.4,688000,Defender,Greater Western Sydney Giants,9,4.9999999999999996e-05
Matthew Kennedy,0.0,359000,Forward,Carlton Blues,0,0.0
Darcy Parish,45.0,589000,Midfield,Essendon Bombers,5,7.64006791171477e-05
Scott Lycett,73.2,619000,Ruck,Port Adelaide Power,5,0.00011825525040387722
Lachlan Weller,75.6,612000,Midfield,Gold Coast Suns,2,0.00012352941176470587
Trent Cotchin,72.2,525000,Midfield,Richmond Tigers,0,0.00013752380952380952
Isaac Smith,73.4,630000,Midfield,Hawthorn Hawks,45,0.00011650793650793652
Shannon Hurn,63.0,678000,Defender,West Coast Eagles,0,9.292035398230088e-05
Jarrod Witts,67.0,775000,Ruck,Gold Coast Suns,0,8.64516129032258e-05
Shai Bolton,64.75,473000,Forward,Richmond Tigers,0,0.000136892177589852
Sam Jacobs,35.8,514000,Ruck,Greater Western Sydney Giants,72,6.964980544747081e-05
Tom Lynch,0.0,463000,Forward,Adeliade Crows,2,0.0
Ben Keays,57.25,338000,Forward,Adeliade Crows,0,0.00016937869822485207
Jack Bowes,67.8,531000,Midfield,Gold Coast Suns,0,0.00012768361581920904
Jack Martin,71.0,619000,Midfield,Carlton Blues,13,0.00011470113085621971
Bailey Williams,57.8,575000,Defender,Western Bulldogs,9,0.00010052173913043478
Hunter Clark,61.0,574000,Defender,St Kilda Saints,1,0.00010627177700348433
Paul Seedsman,30.6,540000,Midfield,Adeliade Crows,0,5.666666666666667e-05
Karl Amon,62.4,567000,Midfield,Port Adelaide Power,0,0.00011005291005291005
Angus Brayshaw,67.5,653000,Midfield,Melbourne Demons,28,0.00010336906584992343
Tom Phillips,59.4,672000,Midfield,Collingwood Magpies,0,8.839285714285714e-05
Nicholas Coffield,65.5,415000,Defender,St Kilda Saints,0,0.00015783132530120482
Zach Tuohy,63.8,507000,Defender,Geelong Cats,0,0.00012583826429980274
Kane Lambert,60.4,643000,Forward,Richmond Tigers,0,9.393468118195957e-05
Jack Lukosius,60.8,388000,Defender,Gold Coast Suns,6,0.00015670103092783506
Ben Ainsworth,67.0,483000,Midfield,Gold Coast Suns,6,0.00013871635610766047
Jason Johannisen,64.0,609000,Defender,Western Bulldogs,0,0.00010509031198686371
Darcy Byrne-Jones,65.2,640000,Defender,Port Adelaide Power,0,0.00010187500000000001
James Aish,65.2,496000,Defender,Fremantle Dockers,0,0.00013145161290322582
Jade Gresham,57.8,619000,Midfield,St Kilda Saints,2,9.337641357027463e-05
Patrick Ryder,35.4,521000,Ruck,St Kilda Saints,0,6.794625719769674e-05
Michael Gibbons,65.4,463000,Forward,Carlton Blues,0,0.0001412526997840173
Steven May,50.25,527000,Defender,Melbourne Demons,17,9.535104364326376e-05
Aaron Hall,52.4,527000,Midfield,North Melbourne Kangaroos,0,9.943074003795067e-05
Jack Gunston,58.2,565000,Forward,Hawthorn Hawks,0,0.00010300884955752212
Robbie Gray,55.0,603000,Midfield,Port Adelaide Power,0,9.12106135986733e-05
Zak Butters,65.8,421000,Forward,Port Adelaide Power,0,0.00015629453681710213
Gryan Miers,70.4,495000,Forward,Geelong Cats,0,0.00014222222222222224
Rory Sloane,54.0,739000,Midfield,Adeliade Crows,0,7.307171853856563e-05
Hamish Hartlett,61.6,567000,Defender,Port Adelaide Power,0,0.00010864197530864197
Callum Sinclair,36.6,568000,Ruck,Sydney Swans,2,6.443661971830986e-05
Michael Hurley,65.75,574000,Defender,Essendon Bombers,0,0.00011454703832752613
Oliver Florent,68.8,514000,Midfield,Sydney Swans,1,0.000133852140077821
Lewis Jetta,63.75,454000,Defender,West Coast Eagles,0,0.00014041850220264317
Hayden Crozier,61.6,531000,Defender,Western Bulldogs,0,0.0001160075329566855
Mark Blicavs,47.2,505000,Defender,Geelong Cats,0,9.346534653465347e-05
Jonathon Ceglar,66.4,562000,Ruck,Hawthorn Hawks,5,0.00011814946619217083
Ricky Henderson,50.2,717000,Midfield,Hawthorn Hawks,0,7.001394700139471e-05
Ryan Clarke,9.8,460000,Midfield,Sydney Swans,1,2.1304347826086958e-05
Sebastian Ross,69.8,700000,Midfield,St Kilda Saints,6,9.971428571428571e-05
Oscar McInerney,57.2,417000,Ruck,Brisbane Lions,3,0.00013717026378896882
Will Day,0.0,246000,Defender,Hawthorn Hawks,3,0.0
Zac Bailey,52.0,358000,Defender,Brisbane Lions,5,0.0001452513966480447
Daniel Butler,72.6,384000,Forward,St Kilda Saints,0,0.0001890625
Jack Graham,23.6,615000,Midfield,Richmond Tigers,0,3.83739837398374e-05
Jack Higgins,70.5,497000,Forward,Richmond Tigers,0,0.00014185110663983904
Tom Doedee,52.25,403000,Defender,Adeliade Crows,0,0.00012965260545905706
Jake Riccardi,0.0,170000,Forward,Greater Western Sydney Giants,0,0.0
Noah Anderson,53.0,268000,Midfield,Gold Coast Suns,21,0.00019776119402985075
Kade Simpson,60.6,595000,Defender,Carlton Blues,0,0.00010184873949579833
Matthew Taberner,53.4,622000,Forward,Fremantle Dockers,0,8.585209003215434e-05
Jack Redden,49.2,681000,Midfield,West Coast Eagles,0,7.22466960352423e-05
John Noble,52.5,400000,Defender,Collingwood Magpies,2,0.00013125
Darcy Tucker,75.6,539000,Midfield,Fremantle Dockers,3,0.00014025974025974025
Robbie Tarrant,59.2,482000,Defender,North Melbourne Kangaroos,0,0.00012282157676348548
Jack Scrimshaw,27.0,438000,Defender,Hawthorn Hawks,0,6.164383561643835e-05
Tom Papley,71.4,574000,Forward,Sydney Swans,0,0.00012439024390243904
Lachlan Fogarty,0.0,326000,Forward,Geelong Cats,0,0.0
Harry Cunningham,50.4,581000,Defender,Sydney Swans,0,8.674698795180722e-05
Bayley Fritsch,56.5,551000,Defender,Melbourne Demons,0,0.00010254083484573503
Lachlan Henderson,0.0,424000,Defender,Geelong Cats,0,0.0
Jackson Hately,33.2,456000,Midfield,Greater Western Sydney Giants,10,7.280701754385966e-05
Shane Edwards,55.4,549000,Defender,Richmond Tigers,0,0.00010091074681238615
Sam Mayes,0.0,300000,Midfield,Port Adelaide Power,0,0.0
Peter Ladhams,0.0,414000,Ruck,Port Adelaide Power,0,0.0
Michael Hibberd,42.8,455000,Defender,Melbourne Demons,4,9.406593406593406e-05
Sam Powell-Pepper,50.6,559000,Midfield,Port Adelaide Power,0,9.051878354203936e-05
Patrick Lipinski,39.6,634000,Midfield,Western Bulldogs,0,6.246056782334385e-05
Reece Conca,54.8,554000,Midfield,Fremantle Dockers,0,9.891696750902526e-05
Jordan De Goey,57.8,626000,Forward,Collingwood Magpies,0,9.233226837060702e-05
Jack Newnes,42.2,517000,Midfield,Carlton Blues,0,8.16247582205029e-05
Brett Bewley,63.4,367000,Forward,Fremantle Dockers,17,0.00017275204359673023
Nick Vlastuin,49.6,585000,Defender,Richmond Tigers,0,8.478632478632479e-05
Dylan Stephens,0.0,262000,Midfield,Sydney Swans,6,0.0
Rupert Wills,35.2,458000,Midfield,Collingwood Magpies,0,7.685589519650656e-05
Jackson Nelson,28.2,358000,Defender,West Coast Eagles,0,7.877094972067039e-05
Charlie Dixon,67.5,513000,Forward,Port Adelaide Power,0,0.00013157894736842105
Daniel Hannebery,60.2,622000,Midfield,St Kilda Saints,4,9.678456591639872e-05
Jeremy McGovern,29.0,511000,Defender,West Coast Eagles,0,5.675146771037182e-05
Mitch Robinson,71.2,695000,Midfield,Brisbane Lions,0,0.00010244604316546763
Rory Lobb,62.2,588000,Ruck,Fremantle Dockers,0,0.00010578231292517007
Liam Ryan,55.6,422000,Forward,West Coast Eagles,2,0.00013175355450236966
Xavier Duursma,38.4,581000,Midfield,Port Adelaide Power,0,6.609294320137694e-05
Jamie Elliott,47.0,502000,Forward,Collingwood Magpies,0,9.362549800796813e-05
Luke Davies-Uniacke,0.0,395000,Midfield,North Melbourne Kangaroos,0,0.0
Bradley Hill,61.8,658000,Midfield,St Kilda Saints,3,9.39209726443769e-05
James Rowbottom,54.4,469000,Midfield,Sydney Swans,1,0.00011599147121535181
Liam Baker,48.75,510000,Defender,Richmond Tigers,0,9.558823529411765e-05
Gary Ablett,63.6,658000,Forward,Geelong Cats,0,9.66565349544073e-05
Mitchell Brown,6.0,508000,Defender,Melbourne Demons,1,1.1811023622047245e-05
Brayden Fiorini,31.0,740000,Midfield,Gold Coast Suns,0,4.189189189189189e-05
Jackson Thurlow,0.0,461000,Defender,Sydney Swans,0,0.0
Heath Shaw,60.6,612000,Defender,Greater Western Sydney Giants,0,9.901960784313726e-05
Christopher Mayne,55.4,577000,Midfield,Collingwood Magpies,0,9.601386481802426e-05
Connor Rozee,59.4,539000,Forward,Port Adelaide Power,8,0.00011020408163265306
Jasper Pittard,55.6,531000,Defender,North Melbourne Kangaroos,0,0.00010470809792843691
Kamdyn Mcintosh,17.0,468000,Midfield,Richmond Tigers,0,3.6324786324786323e-05
Luke Breust,56.5,506000,Forward,Hawthorn Hawks,0,0.0001116600790513834
David Zaharakis,40.0,590000,Midfield,Essendon Bombers,0,6.779661016949152e-05
Sam Simpson,0.0,170000,Midfield,Geelong Cats,0,0.0
Oscar Allen,37.8,424000,Forward,West Coast Eagles,0,8.915094339622641e-05
Marc Pittonet,67.75,305000,Ruck,Carlton Blues,0,0.0002221311475409836
Will Snelling,46.0,420000,Forward,Essendon Bombers,2,0.00010952380952380952
Shaun Atley,53.8,496000,Defender,North Melbourne Kangaroos,0,0.00010846774193548387
Justin Westhoff,64.8,574000,Midfield,Port Adelaide Power,4,0.00011289198606271777
Charlie Cameron,56.2,499000,Forward,Brisbane Lions,17,0.00011262525050100201
Jye Caldwell,25.8,310000,Midfield,Greater Western Sydney Giants,0,8.32258064516129e-05
Jamie Cripps,46.8,476000,Forward,West Coast Eagles,19,9.831932773109243e-05
Jack Darling,43.0,529000,Forward,West Coast Eagles,0,8.128544423440454e-05
Sam Petrevski-Seton,55.0,577000,Defender,Carlton Blues,0,9.53206239168111e-05
